Contract ID,Date contrat,Montant contrat (€),Montant payé (€),Solde restant (€),Contrat signé ?,Contrat remboursé ?
1801,2025-09-24,1000.00,1000.00,0.00,Oui,Non
1635,2025-08-18,890.00,890.00,0.00,Oui,Non
1790,2025-07-28,1290.00,2580.00,0.00,Oui,Non
1784,2025-06-11,690.00,5130.00,0.00,Oui,Non
1786,2025-05-19,990.00,990.00,0.00,Oui,Non
1789,2025-04-24,890.00,890.00,0.00,Oui,Non
1795,2025-04-08,590.00,590.00,0.00,Oui,Non
1785,2025-04-02,600.00,600.00,0.00,Oui,Non
1794,2025-03-18,890.00,890.00,0.00,Oui,Non
1782,2025-03-09,1190.00,1990.00,0.00,Oui,Non
1780,2025-03-02,890.00,2670.00,0.00,Oui,Non
1779,2025-02-25,490.00,1160.00,0.00,Oui,Non
1776,2025-02-11,690.00,690.00,0.00,Oui,Non
1778,2025-01-28,1590.00,1590.00,0.00,Oui,Non
1791,2024-12-11,390.00,1170.00,0.00,Oui,Non
1777,2024-11-25,1190.00,2380.00,0.00,Oui,Non
